H3k4me3	H3k27me3	measured_log2
4.67	-0.24554094	6.21751
2.046	-0.24554094	-5.05889
2.375	1.22368169	-5.05889
1.954	0.43572509	-5.05889
5.19	0.2237209	6.05534
5.456	1.07182407	5.03454
5.837	0.00881022	2.28723
5.432	0.50102274	4.9959
5.143	0.95865671	5.12805
4.999	-0.14866413	0.86418
4.5	0.28958362	4.9775
2.712	3.04625871	1.98446
6.174	-0.10412637	2.64783
5.793	1.13754907	5.95146
5.995	0.75353904	5.46064
2.417	0.31791698	-5.05889
4.201	-0.24554094	0.66839
5.235	-0.24554094	6.18925
2.528	2.22646521	-1.40923
4.674	2.74090802	1.48651
4.47	1.39471139	1.32961
5.138	0.09865194	1.94172
5.917	-0.24554094	5.72288
3.628	4.19265969	-1.93783
6.123	0.5184228	5.48317
2.718	5.4620163	-5.05889
4.576	1.07459412	3.28279
4.49	-0.14866413	2.00536
6.1	-0.24554094	5.96886
2.052	-0.24554094	0.09699
5.838	0.95865671	6.32846
6.239	0.41073018	6.55181
4.949	9.444e-05	3.77183
5.055	0.1909049	0.55954
4.489	1.3633334	-5.05889
5.589	0.41182587	4.21925
4.728	4.97931655	-5.05889
3.801	1.18574571	4.32696
5.607	-0.11987534	4.44642
4.576	-0.08082094	0.37911
5.493	0.56349249	7.25916
2.401	0.27520551	-5.05889
2.888	2.74808537	-5.05889
5.427	-0.24554094	5.33623
5.047	0.26068145	0.86418
6.226	3.4431822	5.37691
4.851	1.31377956	5.06722
4.922	-0.03829895	-0.15798
1.954	-0.24554094	2.90304
6.26	-0.23521213	6.0121
4.923	2.01055052	-0.46788
5.565	-0.24554094	-1.40923
6.043	-0.24554094	-5.05889
4.659	0.95865671	3.77791
2.945	-0.24554094	1.85225
5.001	1.14217779	4.28484
4.159	2.21678061	1.15353
6.159	0.28958362	7.04936
4.203	0.69892739	-5.05889
3.576	-0.21477378	1.96324
4.871	0.09319704	0.09699
2.976	-0.24554094	3.63098
5.115	-0.19462092	4.52089
3.405	0.46769002	-0.58798
2.34	1.63230054	-5.05889
5.087	1.31377956	5.10644
2.062	1.39581931	-5.05889
5.3	1.23981317	-1.64946
2.595	0.82190729	-5.05889
4.877	-0.24554094	4.26764
4.158	4.27918893	-5.05889
5.386	0.46558112	-2.29863
3.896	4.9009537	-0.86311
5.872	0.28958362	4.34348
3.523	-0.21139536	0.95294
3.722	-0.06396636	-5.05889
3.715	3.11918176	-5.05889
